100004033|2935|0
100004068|2935|4
100004076|2935|0
100004084|2935|2
100004092|2935|3
100004105|2935|11
100004121|2935|6
100004455|2935|66
100004471|2935|0
100004498|2935|4
100004501|2935|5
100004586|2935|120
100004594|2935|232
100004607|2935|4
100004615|2935|8
100004623|2935|7
100004666|2935|0
100004674|2935|0
100004703|2935|0
100004720|2935|0
100004754|2935|0
100004771|2935|0
100004877|2935|23
100004885|2935|0
100004906|2935|2
100004922|2935|937
100004931|2935|144
100004957|2935|0
100004965|2935|2
100004981|2935|9
100005001|2935|100
100005061|2935|2
100005116|2935|0
100005141|2935|149
100005191|2935|151
100005212|2935|190
100005255|2935|2
100005271|2935|18
100005301|2935|5
100005319|2935|50
100005327|2935|0
100005335|2935|370
100005343|2935|180
100005360|2935|29
100005378|2935|0
100005394|2935|6
100005407|2935|0
100005440|2935|122
100005458|2935|5
100005474|2935|0
100005482|2935|194
100005491|2935|26
100005503|2935|72
100005589|2935|416
100005600|2935|33
100005669|2935|180
100005714|2935|33
100005731|2935|0
100007234|2935|11
100007672|2935|18
100007728|2935|16
100007779|2935|44
100010450|2935|92
100010468|2935|15
100010476|2935|0
100011479|2935|6
100011487|2935|6
100011524|2935|2
100011559|2935|1
100011567|2935|9
100011591|2935|6
100011655|2935|3
100011680|2935|0
100011698|2935|10
100011701|2935|0
100011719|2935|30
100011727|2935|18
100011735|2935|14
100011743|2935|20
100011760|2935|9
100011778|2935|32
100011807|2935|427
100011831|2935|67
100011858|2935|321
100011903|2935|36
100011920|2935|279
100011938|2935|141
100011946|2935|18
100011971|2935|30
100012041|2935|60
100012050|2935|13
100012076|2935|26
100012113|2935|54
100012130|2935|67
100012164|2935|39
100012201|2935|24
100012228|2935|54
100012252|2935|43
100012308|2935|41
100012367|2935|42
100012480|2935|0
100012501|2935|9
100012519|2935|0
100012543|2935|14
100012551|2935|13
100012560|2935|57
100012578|2935|4
100012586|2935|7
100012594|2935|9
100012607|2935|19
100012615|2935|41
100012623|2935|31
100012631|2935|34
100012658|2935|38
100012666|2935|0
100012674|2935|9
100012682|2935|31
100012703|2935|17
100012711|2935|50
100012720|2935|62
100012738|2935|34
100012746|2935|23
100012754|2935|7
100012762|2935|66
100012771|2935|14
100012789|2935|44
100012797|2935|24
